CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170109835	Alameda	Alameda County Office of Education	FAME Public Charter	1	0	1	0	0	0	3	0	0	5	1415
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	32	3	2	2	1	26	1	3	0	70	1415
01100170118489	Alameda	Alameda County Office of Education	Aspire California College Preparatory Academy	35	0	1	0	2	16	0	0	0	54	1415
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	0	0	0	0	0	0	0	0	0	0	1415
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	0	0	0	0	0	0	0	0	0	0	1415
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	0	0	0	0	0	0	0	0	0	0	1415
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	4	0	15	1	3	2	3	2	0	30	1415
01611190119222	Alameda	Alameda Unified	Nea Community Learning Center	1	0	3	0	1	3	2	2	1	13	1415
01611190130229	Alameda	Alameda Unified	Alameda High	22	0	150	1	14	9	74	5	0	275	1415
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	4	0	4	0	1	2	9	2	0	22	1415
01611190130625	Alameda	Alameda Unified	Alternatives in Action	0	0	0	0	0	0	0	0	0	0	1415
01611190132878	Alameda	Alameda Unified	Encinal High	15	0	31	0	12	7	18	4	0	87	1415
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
01611270130450	Alameda	Albany City Unified	Albany High	20	0	69	0	3	4	51	11	0	158	1415
01611430000001	Alameda	Berkeley Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	0	0	0	0	1415
01611430122697	Alameda	Berkeley Unified	REALM Charter High	30	0	2	0	1	10	4	1	0	48	1415
01611430131177	Alameda	Berkeley Unified	Berkeley High	67	2	35	0	5	59	258	41	0	467	1415
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	0	0	0	0	0	0	0	0	0	0	1415
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	57	1	142	1	13	16	123	42	2	397	1415
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	0	0	0	0	0	0	0	0	0	0	1415
01611680132746	Alameda	Emery Unified	Emery Secondary	4	0	3	0	0	3	0	0	0	10	1415
01611760000001	Alameda	Fremont Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	0	0	0	0	1415
01611760130062	Alameda	Fremont Unified	American High	17	0	175	4	37	7	44	2	0	286	1415
01611760130138	Alameda	Fremont Unified	Robertson High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
01611760130435	Alameda	Fremont Unified	Vista Alternative	0	0	0	0	0	0	0	0	0	0	1415
01611760130534	Alameda	Fremont Unified	Circle of Independent Learning	0	0	0	0	0	0	0	0	0	0	1415
01611760134270	Alameda	Fremont Unified	Irvington High	21	0	275	2	12	4	54	4	0	372	1415
01611760134452	Alameda	Fremont Unified	John F. Kennedy High	45	1	55	3	17	6	35	4	0	166	1415
01611760135244	Alameda	Fremont Unified	Mission San Jose High	2	0	440	0	8	0	24	2	0	476	1415
01611760138693	Alameda	Fremont Unified	Washington High	35	1	116	0	25	11	69	9	0	266	1415
01611920000001	Alameda	Hayward Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	0	0	0	0	1415
01611920108670	Alameda	Hayward Unified	Leadership Public Schools - Hayward	56	0	14	4	13	8	2	1	1	99	1415
01611920113902	Alameda	Hayward Unified	Impact Academy of Arts & Technology	64	1	2	2	9	10	10	4	0	102	1415
01611920133009	Alameda	Hayward Unified	Brenkwitz High	0	0	0	0	0	0	0	0	0	0	1415
01611920133629	Alameda	Hayward Unified	Hayward High	67	1	18	5	5	22	10	0	0	128	1415
01611920135319	Alameda	Hayward Unified	Mt. Eden High	59	0	48	4	37	11	7	1	0	167	1415
01611920138339	Alameda	Hayward Unified	Tennyson High	82	0	11	7	16	16	4	1	0	137	1415
01612000130393	Alameda	Livermore Valley Joint Unified	Vineyard Alternative	0	0	0	0	0	0	0	0	0	0	1415
01612000132670	Alameda	Livermore Valley Joint Unified	Del Valle Continuation High	0	0	0	0	0	0	0	0	0	0	1415
01612000133397	Alameda	Livermore Valley Joint Unified	Granada High	45	0	20	0	10	3	154	12	0	244	1415
01612000134536	Alameda	Livermore Valley Joint Unified	Livermore High	39	3	14	0	4	2	113	21	1	197	1415
01612340130054	Alameda	Newark Unified	Newark Memorial High	28	1	16	2	9	2	11	1	0	70	1415
01612340130484	Alameda	Newark Unified	Crossroads High (Alternative)	0	0	0	0	0	0	0	0	0	0	1415
01612340135426	Alameda	Newark Unified	Bridgepoint High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
01612420110460	Alameda	New Haven Unified	Core Learning Academy at Conley-Caraballo High	1	0	0	0	0	0	0	0	0	1	1415
01612420126763	Alameda	New Haven Unified	Decoto School for Independent Study	0	0	0	0	0	0	1	0	0	1	1415
01612420134668	Alameda	New Haven Unified	James Logan High	114	2	143	20	142	35	34	16	0	506	1415
01612590100065	Alameda	Oakland Unified	Oakland Unity High	37	0	0	0	0	3	0	0	2	42	1415
01612590100701	Alameda	Oakland Unified	MetWest High	11	0	2	0	0	5	4	0	1	23	1415
01612590106906	Alameda	Oakland Unified	Bay Area Technology	5	0	0	0	1	8	8	0	0	22	1415
